id,rootname,pr_inv_l,proposid,filter,expstart,targname
323114,ie8d05sbq,de Pater,16053,F502N,59053.35156,JUPITER
323116,ie8d05s8q,de Pater,16053,FQ727N,59053.34375,JUPITER
323117,ie8d05s9q,de Pater,16053,F631N,59053.34766,JUPITER
323115,ie8d05sdq,de Pater,16053,F225W,59053.35547,JUPITER
323118,ie8d05scq,de Pater,16053,F275W,59053.35547,JUPITER
323113,ie8d05saq,de Pater,16053,F395N,59053.34766,JUPITER
323119,ie8d05s7q,de Pater,16053,FQ889N,59053.33984,JUPITER
323120,ie8d06siq,de Pater,16053,F631N,59053.41406,JUPITER
323122,ie8d06smq,de Pater,16053,F225W,59053.42578,JUPITER
323123,ie8d06skq,de Pater,16053,F502N,59053.42188,JUPITER
323126,ie8d06shq,de Pater,16053,F225W,59053.41406,JUPITER
323121,ie8d06sgq,de Pater,16053,FQ727N,59053.41016,JUPITER
323124,ie8d06sjq,de Pater,16053,F395N,59053.41797,JUPITER
323125,ie8d06sfq,de Pater,16053,FQ889N,59053.40625,JUPITER
323127,ie8d06slq,de Pater,16053,F275W,59053.42188,JUPITER
323131,ie8d01neq,de Pater,16053,F395N,59052.21875,JUPITER
323129,ie8d01nfq,de Pater,16053,F275W,59052.22266,JUPITER
323130,ie8d01ncq,de Pater,16053,FQ727N,59052.21484,JUPITER
323128,ie8d01ndq,de Pater,16053,F631N,59052.21875,JUPITER
323132,ie8d03nwq,de Pater,16053,FQ889N,59052.41406,JUPITER
323136,ie8d03nzq,de Pater,16053,F631N,59052.42188,JUPITER
323135,ie8d03o3q,de Pater,16053,F225W,59052.43359,JUPITER
323139,ie8d03o1q,de Pater,16053,F502N,59052.42578,JUPITER
323137,ie8d03nyq,de Pater,16053,F225W,59052.41797,JUPITER
323134,ie8d03o0q,de Pater,16053,F395N,59052.42578,JUPITER
323133,ie8d03nxq,de Pater,16053,FQ727N,59052.41797,JUPITER
323138,ie8d03o2q,de Pater,16053,F275W,59052.42969,JUPITER
323142,ie8d04rqq,de Pater,16053,F275W,59053.21484,JUPITER
323140,ie8d04rpq,de Pater,16053,F395N,59053.21484,JUPITER
323143,ie8d04roq,de Pater,16053,F631N,59053.21094,JUPITER
323141,ie8d04rnq,de Pater,16053,FQ727N,59053.20703,JUPITER
323148,ie8d02npq,de Pater,16053,FQ727N,59052.35156,JUPITER
323145,ie8d02nrq,de Pater,16053,F395N,59052.35547,JUPITER
323149,ie8d02ntq,de Pater,16053,F275W,59052.35938,JUPITER
323147,ie8d02nqq,de Pater,16053,F631N,59052.35547,JUPITER
323144,ie8d02noq,de Pater,16053,FQ889N,59052.34766,JUPITER
323146,ie8d02nuq,de Pater,16053,F225W,59052.36328,JUPITER
323150,ie8d02nsq,de Pater,16053,F502N,59052.35938,JUPITER
323220,ie8d09wyq,de Pater,16053,FQ889N,59054.39844,JUPITER
323222,ie8d09x5q,de Pater,16053,F225W,59054.41797,JUPITER
323225,ie8d09wzq,de Pater,16053,FQ727N,59054.40234,JUPITER
323226,ie8d09x1q,de Pater,16053,F631N,59054.41016,JUPITER
323221,ie8d09x4q,de Pater,16053,F275W,59054.41406,JUPITER
323223,ie8d09x3q,de Pater,16053,F502N,59054.41406,JUPITER
323219,ie8d09x0q,de Pater,16053,F225W,59054.40625,JUPITER
323224,ie8d09x2q,de Pater,16053,F395N,59054.41016,JUPITER
323228,ie8d08wrq,de Pater,16053,F631N,59054.33594,JUPITER
323231,ie8d08wwq,de Pater,16053,FQ889N,59054.34766,JUPITER
323229,ie8d08wtq,de Pater,16053,F502N,59054.33984,JUPITER
323233,ie8d08wsq,de Pater,16053,F395N,59054.33984,JUPITER
323230,ie8d08wvq,de Pater,16053,F225W,59054.34766,JUPITER
323232,ie8d08wqq,de Pater,16053,FQ727N,59054.33203,JUPITER
323227,ie8d08wuq,de Pater,16053,F275W,59054.34375,JUPITER
323234,ie8d07w9q,de Pater,16053,FQ727N,59054.19922,JUPITER
323237,ie8d07wbq,de Pater,16053,F631N,59054.20703,JUPITER
323235,ie8d07wcq,de Pater,16053,F395N,59054.20703,JUPITER
323236,ie8d07waq,de Pater,16053,F275W,59054.20313,JUPITER
323310,ie8d12aoq,de Pater,16053,F225W,59055.39844,JUPITER
323314,ie8d12atq,de Pater,16053,F225W,59055.41016,JUPITER
323316,ie8d12anq,de Pater,16053,FQ727N,59055.39453,JUPITER
323309,ie8d12amq,de Pater,16053,FQ889N,59055.39063,JUPITER
323312,ie8d12arq,de Pater,16053,F502N,59055.40625,JUPITER
323311,ie8d12apq,de Pater,16053,F631N,59055.40234,JUPITER
323313,ie8d12asq,de Pater,16053,F275W,59055.41016,JUPITER
323315,ie8d12aqq,de Pater,16053,F395N,59055.40234,JUPITER
323317,ie8d10zzq,de Pater,16053,F275W,59055.20313,JUPITER
323320,ie8d10zyq,de Pater,16053,F395N,59055.19922,JUPITER
323319,ie8d10zxq,de Pater,16053,F631N,59055.19531,JUPITER
323318,ie8d10zwq,de Pater,16053,FQ727N,59055.19141,JUPITER
323325,ie8d11ajq,de Pater,16053,F275W,59055.33984,JUPITER
323326,ie8d11agq,de Pater,16053,F631N,59055.33203,JUPITER
323324,ie8d11aeq,de Pater,16053,FQ889N,59055.32422,JUPITER
323327,ie8d11aiq,de Pater,16053,F502N,59055.33594,JUPITER
323321,ie8d11ahq,de Pater,16053,F395N,59055.33594,JUPITER
323323,ie8d11afq,de Pater,16053,FQ727N,59055.32813,JUPITER
323322,ie8d11akq,de Pater,16053,F225W,59055.34375,JUPITER